year,formation,oil_bbl,gas_mcf,wells,computed_at
2016,APSP,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,ATOK,1596.0,24226.0,14,2026-04-23T13:57:37.026244
2016,BCKHN,63.0,110270.0,13,2026-04-23T13:57:37.026244
2016,BKCK,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,BLFF,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,BLIN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,BRCN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,BXTR,148.0,113432.0,7,2026-04-23T13:57:37.026244
2016,CARL,1058.0,2.0,6,2026-04-23T13:57:37.026244
2016,CCRWF,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,CD-CRL,1077059.0,5873732.0,49,2026-04-23T13:57:37.026244
2016,CD-FH,4434952.0,25785742.0,226,2026-04-23T13:57:37.026244
2016,CDHL,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,CDMTN,158.0,251657.0,26,2026-04-23T13:57:37.026244
2016,CHIN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,CHRK,228670.0,285404.0,74,2026-04-23T13:57:37.026244
2016,CLCDFH,2418854.0,12391524.0,126,2026-04-23T13:57:37.026244
2016,CMEO,1471.0,839148.0,36,2026-04-23T13:57:37.026244
2016,CMEOC,0.0,36577.0,41,2026-04-23T13:57:37.026244
2016,COZZ,23039.0,6248399.0,1249,2026-04-23T13:57:37.026244
2016,CRCRN,38585.0,10537858.0,1518,2026-04-23T13:57:37.026244
2016,CRKE,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,CRTS,36.0,0.0,2,2026-04-23T13:57:37.026244
2016,CSGMN,0.0,110.0,1,2026-04-23T13:57:37.026244
2016,CSLGT,0.0,119622.0,26,2026-04-23T13:57:37.026244
2016,CTARK,11.0,32718.0,3,2026-04-23T13:57:37.026244
2016,CTHRM,18.0,42410.0,1,2026-04-23T13:57:37.026244
2016,CTLR,183.0,488430.0,60,2026-04-23T13:57:37.026244
2016,CZ-CR,0.0,0.0,9,2026-04-23T13:57:37.026244
2016,Codell,10797047.0,83481387.0,3775,2026-04-23T13:57:37.026244
2016,D Sand,334975.0,1587095.0,808,2026-04-23T13:57:37.026244
2016,DGCK,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,DJSND,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,DK-LK,0.0,0.0,3,2026-04-23T13:57:37.026244
2016,DK-PR,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,DKTA,35252.0,16000993.0,1067,2026-04-23T13:57:37.026244
2016,DMEDG,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,DSCR,76247.0,249345.0,37,2026-04-23T13:57:37.026244
2016,DSMS,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,EMRY,51.0,49137.0,17,2026-04-23T13:57:37.026244
2016,ENBLM,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,ENBMR,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,ENRD,0.0,2500336.0,27,2026-04-23T13:57:37.026244
2016,ENTNG,5.0,125866.0,1,2026-04-23T13:57:37.026244
2016,FMNG,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,FRLD,0.0,2001926.0,21,2026-04-23T13:57:37.026244
2016,FRLDC,0.0,295253072.0,2353,2026-04-23T13:57:37.026244
2016,FRPCL,0.0,125941.0,1,2026-04-23T13:57:37.026244
2016,FRSC,19034.0,32847.0,6,2026-04-23T13:57:37.026244
2016,FRTR,2876.0,94384.0,25,2026-04-23T13:57:37.026244
2016,FT-WS,10.0,53356.0,2,2026-04-23T13:57:37.026244
2016,FTHYS,324705.0,1821245.0,22,2026-04-23T13:57:37.026244
2016,FTLN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,FTUN,43706.0,5643415.0,223,2026-04-23T13:57:37.026244
2016,FTUNC,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,Fox Hills,1.0,11536.0,10,2026-04-23T13:57:37.026244
2016,GLLP,4598.0,2623.0,20,2026-04-23T13:57:37.026244
2016,GOSH,0.0,0.0,6,2026-04-23T13:57:37.026244
2016,GRNT,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,GRRS,681.0,7811.0,11,2026-04-23T13:57:37.026244
2016,GRRV,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,Greenhorn,67204.0,531767.0,85,2026-04-23T13:57:37.026244
2016,HNKRT,3448.0,1034373.0,82,2026-04-23T13:57:37.026244
2016,HOVS,4.0,32241.0,4,2026-04-23T13:57:37.026244
2016,HRMS,788.0,862254.0,42,2026-04-23T13:57:37.026244
2016,ILES,786.0,684208.0,39,2026-04-23T13:57:37.026244
2016,ILESC,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,IS-DC,3223.0,256005.0,6,2026-04-23T13:57:37.026244
2016,ISMY,13488.0,126981.0,42,2026-04-23T13:57:37.026244
2016,J Sand,962880.0,19624059.0,6517,2026-04-23T13:57:37.026244
2016,J-CDL,23.0,42.0,1,2026-04-23T13:57:37.026244
2016,KEYES,4461.0,77481.0,15,2026-04-23T13:57:37.026244
2016,KRTLD,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,LASAL,8.0,34350.0,4,2026-04-23T13:57:37.026244
2016,LDVLL,3638.0,435196100.0,5,2026-04-23T13:57:37.026244
2016,LEWS,46.0,6689.0,4,2026-04-23T13:57:37.026244
2016,LFTUN,133.0,62486.0,6,2026-04-23T13:57:37.026244
2016,LG-MR,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,LGKC,4813.0,1.0,9,2026-04-23T13:57:37.026244
2016,LISMY,51.0,739.0,2,2026-04-23T13:57:37.026244
2016,LKTA,2543.0,3007.0,41,2026-04-23T13:57:37.026244
2016,LNCE,79.0,291883.0,27,2026-04-23T13:57:37.026244
2016,LNSNG,13083.0,36318.0,44,2026-04-23T13:57:37.026244
2016,LOYD,105.0,45814.0,4,2026-04-23T13:57:37.026244
2016,LSNGB,54.0,0.0,2,2026-04-23T13:57:37.026244
2016,LSNGD,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,LW-MV,0.0,16421.0,3,2026-04-23T13:57:37.026244
2016,LWIS,4736.0,1969088.0,192,2026-04-23T13:57:37.026244
2016,LYNS,152289.0,0.0,41,2026-04-23T13:57:37.026244
2016,MCCL,18.0,170823.0,18,2026-04-23T13:57:37.026244
2016,MDDY,57069.0,2262.0,68,2026-04-23T13:57:37.026244
2016,MDDYD,4794.0,29717.0,1,2026-04-23T13:57:37.026244
2016,MDDYJ,5758.0,3541.0,11,2026-04-23T13:57:37.026244
2016,ME-PL,0.0,42615.0,1,2026-04-23T13:57:37.026244
2016,MENF,0.0,0.0,3,2026-04-23T13:57:37.026244
2016,MN-EM,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,MNCAB,0.0,66906.0,18,2026-04-23T13:57:37.026244
2016,MNCS,56039.0,18661672.0,303,2026-04-23T13:57:37.026244
2016,MNCSA,63.0,261767.0,24,2026-04-23T13:57:37.026244
2016,MNCSB,100349.0,5589169.0,720,2026-04-23T13:57:37.026244
2016,MNKP,2997.0,0.0,2,2026-04-23T13:57:37.026244
2016,MNRN,8859.0,138794.0,2,2026-04-23T13:57:37.026244
2016,MR-KY,3959.0,4709.0,1,2026-04-23T13:57:37.026244
2016,MR-MN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,MRPS,0.0,2052.0,2,2026-04-23T13:57:37.026244
2016,MRRW,709698.0,4226141.0,335,2026-04-23T13:57:37.026244
2016,MRRW5,0.0,33919.0,2,2026-04-23T13:57:37.026244
2016,MRRW7,15988.0,4985.0,6,2026-04-23T13:57:37.026244
2016,MRRWA,1728.0,9101.0,4,2026-04-23T13:57:37.026244
2016,MRRWB,157995.0,991521.0,56,2026-04-23T13:57:37.026244
2016,MRRWU,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,MRSN,97605.0,410439.0,136,2026-04-23T13:57:37.026244
2016,MRTN,115205.0,44033.0,59,2026-04-23T13:57:37.026244
2016,MRV11,1199.0,0.0,5,2026-04-23T13:57:37.026244
2016,MS-SL,799.0,0.0,2,2026-04-23T13:57:37.026244
2016,MS-SP,9017.0,0.0,6,2026-04-23T13:57:37.026244
2016,MSSP,99138.0,1080806.0,60,2026-04-23T13:57:37.026244
2016,MVDK,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,MVRD,4382.0,15196497.0,913,2026-04-23T13:57:37.026244
2016,MVRDC,0.0,1171.0,32,2026-04-23T13:57:37.026244
2016,MWRY,228.0,59458.0,2,2026-04-23T13:57:37.026244
2016,N-COM,105954.0,923834.0,97,2026-04-23T13:57:37.026244
2016,N-T-C,1083.0,5172.0,5,2026-04-23T13:57:37.026244
2016,NAVA,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,NB-CD,5612470.0,68244180.0,12579,2026-04-23T13:57:37.026244
2016,NB-FH,267973.0,2271499.0,15,2026-04-23T13:57:37.026244
2016,NB-TM,779.0,10270.0,11,2026-04-23T13:57:37.026244
2016,NBFHC,3555476.0,20494053.0,245,2026-04-23T13:57:37.026244
2016,NCMN,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,NESLC,0.0,0.0,2,2026-04-23T13:57:37.026244
2016,NEVA,65.0,0.0,2,2026-04-23T13:57:37.026244
2016,NFCC,1703219.0,9032035.0,90,2026-04-23T13:57:37.026244
2016,NGSD,7.0,835997.0,3,2026-04-23T13:57:37.026244
2016,Niobrara,75012621.0,437343702.0,9130,2026-04-23T13:57:37.026244
2016,OHCRK,867.0,165891.0,58,2026-04-23T13:57:37.026244
2016,OSAGE,66328.0,0.0,9,2026-04-23T13:57:37.026244
2016,OSND,46035.0,0.0,17,2026-04-23T13:57:37.026244
2016,PAWN,900.0,781.0,1,2026-04-23T13:57:37.026244
2016,PAWNA,10072.0,26175.0,6,2026-04-23T13:57:37.026244
2016,PAWNB,994.0,0.0,2,2026-04-23T13:57:37.026244
2016,PCCF,142.0,1632164.0,142,2026-04-23T13:57:37.026244
2016,PNATK,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,PNLK,0.0,29779.0,1,2026-04-23T13:57:37.026244
2016,POCNC,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,PRDX,267.0,67164.0,5,2026-04-23T13:57:37.026244
2016,PRKM,222.0,257.0,5,2026-04-23T13:57:37.026244
2016,PRRE,33377.0,199463.0,114,2026-04-23T13:57:37.026244
2016,PRREB,30630.0,5118.0,67,2026-04-23T13:57:37.026244
2016,PSPR,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,RCRD,5272.0,0.0,6,2026-04-23T13:57:37.026244
2016,RCZCR,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,RDCV,0.0,215320.0,11,2026-04-23T13:57:37.026244
2016,RLNS,17029.0,4280496.0,1287,2026-04-23T13:57:37.026244
2016,RT-VJ,0.0,33548377.0,1056,2026-04-23T13:57:37.026244
2016,RTON,0.0,18817494.0,522,2026-04-23T13:57:37.026244
2016,RTONS,0.0,308115.0,20,2026-04-23T13:57:37.026244
2016,RTS-VJ,0.0,87973.0,9,2026-04-23T13:57:37.026244
2016,SECSG,0.0,0.0,1,2026-04-23T13:57:37.026244
2016,SEGO,26385.0,4424635.0,363,2026-04-23T13:57:37.026244
2016,SHSP,7284.0,34925.0,7,2026-04-23T13:57:37.026244
2016,SHWNE,35615.0,0.0,18,2026-04-23T13:57:37.026244
2016,SIMSN,1376.0,1113.0,3,2026-04-23T13:57:37.026244
2016,SLTW,1822.0,2473.0,8,2026-04-23T13:57:37.026244
